,Name_collection,N_elements,Rank,Score,Items,Price
37,boredapeyachtclub,515,2085,137.305,6,175.00000000000003
38,boredapeyachtclub,528,29,290.1679,7,1333.0
39,boredapeyachtclub,550,860,178.3868,7,369.0
40,boredapeyachtclub,567,318,218.9845,7,222.0
41,boredapeyachtclub,582,793,182.1022,4,250.00000000000003
42,boredapeyachtclub,597,8906,72.6364,5,268.99999999999994
43,boredapeyachtclub,602,6576,89.0504,6,500.00000000000006
44,boredapeyachtclub,613,209,230.8141,7,239.0
45,boredapeyachtclub,635,7907,80.2029,5,299.99999999999994
46,boredapeyachtclub,648,3771,113.6133,6,18880.000000000004
47,boredapeyachtclub,652,3137,120.5342,5,500.00000000000006
48,boredapeyachtclub,686,3263,119.14,5,299.99999999999994
49,boredapeyachtclub,688,1008,170.7785,7,199.99000000000004
50,boredapeyachtclub,695,4242,108.9296,5,420.69
51,boredapeyachtclub,712,2789,125.1218,6,142.69
52,boredapeyachtclub,751,4167,109.7859,6,550.0000000000001
53,boredapeyachtclub,755,3685,114.6314,5,210.0
54,boredapeyachtclub,785,4593,105.1799,6,280.00000000000006
55,boredapeyachtclub,794,2039,138.1469,7,159.49999999999997
56,boredapeyachtclub,797,6444,89.966,6,235.00000000000003
57,boredapeyachtclub,799,1608,148.8094,6,420.69
58,boredapeyachtclub,818,3615,115.421,6,818.0
59,boredapeyachtclub,836,7964,79.7824,5,158.0
60,boredapeyachtclub,888,2188,135.5496,7,888.0
61,boredapeyachtclub,949,51,275.2876,4,500.00000000000006
62,boredapeyachtclub,955,9032,71.6507,6,149.99999999999997
63,boredapeyachtclub,959,5244,99.1499,6,175.00000000000003
64,boredapeyachtclub,966,2697,126.3927,6,195.0
65,boredapeyachtclub,1004,3858,112.6068,7,140.00000000000003
66,boredapeyachtclub,1009,6122,92.2513,6,200.0
67,boredapeyachtclub,1015,3414,117.5215,6,311.0
68,boredapeyachtclub,1057,3814,113.1333,6,185.0
69,boredapeyachtclub,1063,842,179.4154,5,665.9999999999999
70,boredapeyachtclub,1071,4115,110.284,6,225.0
71,boredapeyachtclub,1072,3540,116.1156,5,332.99999999999994
72,boredapeyachtclub,1083,1299,158.5461,7,155.00000000000003
73,boredapeyachtclub,1105,3936,111.8775,7,199.00000000000003
74,boredapeyachtclub,1112,3311,118.5789,7,299.0
75,boredapeyachtclub,1115,756,184.1253,7,250.00000000000003
76,boredapeyachtclub,1118,9106,70.9112,5,159.00000000000003
77,boredapeyachtclub,1119,306,220.0701,6,700.0000000000001
78,boredapeyachtclub,1124,493,200.4827,4,400.0
79,boredapeyachtclub,1149,2864,123.8502,7,777.7699999999998
80,boredapeyachtclub,1154,1086,167.1704,6,294.00000000000006
81,boredapeyachtclub,1157,4862,102.6355,5,248.99999999999997
82,boredapeyachtclub,1159,870,177.9051,4,500.69
83,boredapeyachtclub,1173,5491,97.2204,6,143.00000000000003
84,boredapeyachtclub,1174,2686,126.5555,5,222.0
85,boredapeyachtclub,1198,1435,154.0469,7,248.99999999999997
86,boredapeyachtclub,1207,475,202.2265,7,218.0
87,boredapeyachtclub,1210,5516,97.0236,5,188.0
88,boredapeyachtclub,1216,602,192.2592,7,3400.0
89,boredapeyachtclub,1217,1831,142.4141,7,147.99999999999997
90,boredapeyachtclub,1221,2403,131.1842,7,147.99999999999997
91,boredapeyachtclub,1231,8208,78.1439,5,195.0
92,boredapeyachtclub,1245,9491,66.8344,6,198.9000000000001
93,boredapeyachtclub,1253,2233,134.4936,5,199.69
94,boredapeyachtclub,1280,3986,111.3934,7,222.0
95,boredapeyachtclub,1281,920,175.2509,4,222.20000000000005
96,boredapeyachtclub,1298,2831,124.2985,6,350.00000000000006
97,boredapeyachtclub,1311,3666,114.7933,6,177.77699999999996
98,boredapeyachtclub,1331,5405,97.8968,6,199.00000000000003
99,boredapeyachtclub,1332,2221,134.7149,6,332.99999999999994
100,boredapeyachtclub,1341,3118,120.8084,7,332.99999999999994
101,boredapeyachtclub,1367,3008,122.0979,7,299.99999999999994
102,boredapeyachtclub,1395,5877,94.1737,5,141.49999999999997
103,boredapeyachtclub,1408,6472,89.7073,6,288.0
104,boredapeyachtclub,1450,381,211.7742,4,240.69
105,boredapeyachtclub,1455,9392,67.9212,5,332.99999999999994
106,boredapeyachtclub,1459,55,273.8478,7,420.69
107,boredapeyachtclub,1487,6290,91.1446,6,145.99999999999997
108,boredapeyachtclub,1502,3426,117.3646,5,239.0
109,boredapeyachtclub,1525,763,183.7314,4,230.0
110,boredapeyachtclub,1528,1642,147.493,7,450.0
111,boredapeyachtclub,1546,1233,161.2158,6,200.0
112,boredapeyachtclub,1552,4094,110.4308,6,15001.000000000004
113,boredapeyachtclub,1562,248,226.5759,7,475.0000000000001
114,boredapeyachtclub,1563,2173,135.8674,6,295.0000000000001
115,boredapeyachtclub,1583,7628,82.1474,6,133.0
116,boredapeyachtclub,1584,2874,123.648,5,220.0
117,boredapeyachtclub,1614,68,265.5039,7,199.98
118,boredapeyachtclub,1623,5509,97.0685,6,148.99999999999997
119,boredapeyachtclub,1633,7429,83.292,6,250.00000000000003
120,boredapeyachtclub,1658,9172,70.2621,5,139.69690000000003
121,boredapeyachtclub,1703,3974,111.5467,6,235.00000000000003
122,boredapeyachtclub,1706,7404,83.4937,5,166.00000000000003
123,boredapeyachtclub,1717,1356,156.4076,5,222.0
124,boredapeyachtclub,1725,496,200.3584,6,369.4206899999999
125,boredapeyachtclub,1776,8652,74.7981,6,148.87999999999997
126,boredapeyachtclub,1779,368,213.1407,7,269.6969
127,boredapeyachtclub,1792,5830,94.5703,6,198.00000000000003
128,boredapeyachtclub,1802,744,184.9802,4,200.0
129,boredapeyachtclub,1818,5976,93.3984,6,199.00000000000003
130,boredapeyachtclub,1835,1395,155.1154,6,250.00000000000003
131,boredapeyachtclub,1844,3200,119.8872,5,222.0
133,boredapeyachtclub,1870,6730,87.9919,6,179.99999999999997
134,boredapeyachtclub,1874,6662,88.4057,6,250.00000000000003
135,boredapeyachtclub,1879,4464,106.3981,6,169.0
136,boredapeyachtclub,1890,4109,110.3099,6,184.0
137,boredapeyachtclub,1896,2642,127.2786,6,299.99999999999994
138,boredapeyachtclub,1913,727,185.6852,6,380.00000000000006
139,boredapeyachtclub,1929,473,202.4066,4,888.0
140,boredapeyachtclub,1939,3703,114.3969,6,160.0
141,boredapeyachtclub,1957,3622,115.2876,6,185.0
142,boredapeyachtclub,1991,2553,128.7747,7,350.00000000000006
143,boredapeyachtclub,2020,1018,170.28,7,500.00000000000006
144,boredapeyachtclub,2031,1653,147.0975,7,350.00000000000006
145,boredapeyachtclub,2038,3874,112.4499,7,169.98999999999998
146,boredapeyachtclub,2069,6458,89.8236,6,200.0
147,boredapeyachtclub,2093,6612,88.8291,6,569.69
148,boredapeyachtclub,2103,4343,107.9098,5,250.00000000000003
149,boredapeyachtclub,2106,1506,152.0194,6,500.00000000000006
150,boredapeyachtclub,2121,2964,122.5783,6,2121.0
151,boredapeyachtclub,2139,1078,167.379,6,420.0
152,boredapeyachtclub,2152,1269,159.7696,7,665.9999999999999
153,boredapeyachtclub,2167,1173,163.2105,7,500.69
154,boredapeyachtclub,2181,3929,111.926,6,332.99999999999994
155,boredapeyachtclub,2191,8773,73.8163,5,189.0
156,boredapeyachtclub,2242,7291,84.1874,6,179.99999999999997
157,boredapeyachtclub,2272,9293,69.055,5,170.0
158,boredapeyachtclub,2274,7456,83.1052,5,199.00000000000003
159,boredapeyachtclub,2280,1964,139.6242,7,554.9999999999999
160,boredapeyachtclub,2282,7729,81.4661,5,169.69
161,boredapeyachtclub,2286,7890,80.3409,6,199.00000000000003
162,boredapeyachtclub,2297,9928,57.5279,5,155.00000000000003
163,boredapeyachtclub,2298,5530,96.8887,6,185.0
164,boredapeyachtclub,2300,6110,92.3113,6,301.0
165,boredapeyachtclub,2306,2337,132.5542,6,799.0000000000001
166,boredapeyachtclub,2353,6652,88.4947,6,500.00000000000006
167,boredapeyachtclub,2361,974,173.1744,6,400.0
168,boredapeyachtclub,2362,1190,162.8744,7,185.0
169,boredapeyachtclub,2377,5549,96.671,5,199.00000000000003
170,boredapeyachtclub,2392,1976,139.342,7,238.0
171,boredapeyachtclub,2393,6025,92.9835,5,133.99999999999997
172,boredapeyachtclub,2415,4299,108.394,6,485.0
173,boredapeyachtclub,2432,98,253.8771,5,888.0
174,boredapeyachtclub,2437,6969,86.2893,6,149.5
175,boredapeyachtclub,2458,8785,73.6897,5,228.00000000000003
176,boredapeyachtclub,2466,2474,129.8987,7,250.00000000000003
177,boredapeyachtclub,2470,1520,151.3261,7,290.69
178,boredapeyachtclub,2477,5284,98.8513,6,288.0
179,boredapeyachtclub,2479,2410,131.1032,6,134.89999999999998
180,boredapeyachtclub,2494,9746,63.1744,6,200.0
181,boredapeyachtclub,2507,948,174.2575,4,499.0
182,boredapeyachtclub,2519,2811,124.7192,7,190.00000000000003
183,boredapeyachtclub,2535,7237,84.5937,6,674.9999999999999
184,boredapeyachtclub,2544,2522,129.1632,6,500.00000000000006
185,boredapeyachtclub,2549,9128,70.7141,5,888.0
186,boredapeyachtclub,2553,4028,111.0406,6,260.0
187,boredapeyachtclub,2590,2700,126.348,6,137.0
188,boredapeyachtclub,2596,3676,114.7181,6,749.9999999999999
189,boredapeyachtclub,2616,6938,86.5343,6,200.0
190,boredapeyachtclub,2651,76,261.2052,4,2499.9999999999995
191,boredapeyachtclub,2655,8575,75.3953,5,127.99999999999996
192,boredapeyachtclub,2661,547,196.3255,7,500.00000000000006
193,boredapeyachtclub,2663,1731,144.7951,6,665.9999999999999
194,boredapeyachtclub,2664,1480,152.7611,7,239.0
195,boredapeyachtclub,2674,3018,121.9391,6,173.88
196,boredapeyachtclub,2676,2420,130.8835,6,888.0
197,boredapeyachtclub,2680,9496,66.7813,5,250.00000000000003
198,boredapeyachtclub,2715,7289,84.191,6,337.75000000000006
199,boredapeyachtclub,2731,46,280.2298,7,268.99999999999994
200,boredapeyachtclub,2758,3094,121.041,7,888.0
201,boredapeyachtclub,2767,7162,85.0607,6,199.00000000000003
202,boredapeyachtclub,2781,2463,130.1347,6,210.0
203,boredapeyachtclub,2790,1430,154.1561,7,189.0
204,boredapeyachtclub,2798,7372,83.7037,5,250.00000000000003
205,boredapeyachtclub,2805,8168,78.4006,5,4999.999999999999
206,boredapeyachtclub,2815,5725,95.3505,6,160.0
207,boredapeyachtclub,2830,1755,144.1539,6,178.99999999999997
208,boredapeyachtclub,2839,1048,168.6786,6,199.69
209,boredapeyachtclub,2843,1277,159.4226,7,200.0
210,boredapeyachtclub,2858,7712,81.6132,6,420.69
211,boredapeyachtclub,2869,9229,69.6517,6,199.00000000000003
212,boredapeyachtclub,2897,225,228.8331,4,332.99999999999994
213,boredapeyachtclub,2903,3907,112.1502,6,299.99999999999994
214,boredapeyachtclub,2922,815,181.1499,4,188.0
215,boredapeyachtclub,2941,2162,136.0932,6,229.0
216,boredapeyachtclub,2945,1350,156.5856,6,700.0000000000001
217,boredapeyachtclub,2946,448,204.8648,7,225.0
218,boredapeyachtclub,2948,2936,122.9997,6,202.0
220,boredapeyachtclub,2951,5403,97.9108,6,194.0
221,boredapeyachtclub,2955,4186,109.5422,6,148.99
222,boredapeyachtclub,2966,2945,122.8526,6,299.99999999999994
223,boredapeyachtclub,2980,50,276.261,7,665.9999999999999
224,boredapeyachtclub,2985,7802,80.9273,5,332.99999999999994
225,boredapeyachtclub,3016,6822,87.3609,5,170.0
226,boredapeyachtclub,3017,1067,167.9706,6,220.0
227,boredapeyachtclub,3028,6974,86.2395,6,500.00000000000006
228,boredapeyachtclub,3046,177,235.7992,5,665.9999999999999
230,boredapeyachtclub,3083,6431,90.0732,5,599.9999999999999
231,boredapeyachtclub,3091,2081,137.3877,6,350.00000000000006
232,boredapeyachtclub,3118,3674,114.7305,6,215.0
233,boredapeyachtclub,3140,8235,77.9246,6,195.0
234,boredapeyachtclub,3146,2038,138.1584,6,777.0
235,boredapeyachtclub,3150,1496,152.3217,7,350.00000000000006
236,boredapeyachtclub,3186,7005,86.0534,6,199.00000000000003
237,boredapeyachtclub,3214,5180,99.7096,6,178.00000000000003
238,boredapeyachtclub,3223,2264,133.9196,7,665.9999999999999
239,boredapeyachtclub,3290,6337,90.7763,5,469.0
240,boredapeyachtclub,3306,9882,59.5782,6,162.0
241,boredapeyachtclub,3311,7069,85.6867,6,199.00000000000003
242,boredapeyachtclub,3320,5742,95.1718,6,169.0
243,boredapeyachtclub,3357,4384,107.3998,6,149.99999999999997
244,boredapeyachtclub,3358,5066,100.7261,5,197.0
245,boredapeyachtclub,3362,4879,102.5109,6,332.99999999999994
247,boredapeyachtclub,3378,2771,125.3027,5,225.0
248,boredapeyachtclub,3389,7581,82.4791,5,749.9999999999999
250,boredapeyachtclub,3424,4072,110.6474,5,189.0
251,boredapeyachtclub,3430,7411,83.4515,5,420.0
252,boredapeyachtclub,3434,6202,91.6936,6,179.9
253,boredapeyachtclub,3438,7293,84.1816,5,189.90634659636316
254,boredapeyachtclub,3446,1810,142.8588,7,200.0
255,boredapeyachtclub,3477,6220,91.6068,6,170.0
256,boredapeyachtclub,3483,17,305.4651,7,380.00000000000006
257,boredapeyachtclub,3495,8437,76.4164,5,588.88
258,boredapeyachtclub,3498,5574,96.4951,6,299.99999999999994
259,boredapeyachtclub,3500,2785,125.1462,7,1499.9999999999998
260,boredapeyachtclub,3514,521,198.0308,4,330.0
261,boredapeyachtclub,3532,9476,66.9669,6,250.00000000000003
262,boredapeyachtclub,3533,1958,139.7535,6,199.00000000000003
263,boredapeyachtclub,3541,9927,57.5604,5,143.00000000000003
264,boredapeyachtclub,3555,1492,152.453,7,350.00000000000006
265,boredapeyachtclub,3567,8370,76.9329,6,190.00000000000003
266,boredapeyachtclub,3585,2485,129.7047,5,499.99
267,boredapeyachtclub,3590,7889,80.3608,5,140.00000000000003
268,boredapeyachtclub,3594,1103,165.969,6,420.0
269,boredapeyachtclub,3595,5247,99.1403,5,210.0
270,boredapeyachtclub,3614,2324,132.7683,6,350.00000000000006
271,boredapeyachtclub,3627,1038,168.9696,7,169.69
272,boredapeyachtclub,3629,9713,63.8202,5,169.0
273,boredapeyachtclub,3646,1463,153.2977,6,275.00000000000006
274,boredapeyachtclub,3647,5143,100.0351,6,179.99000000000004
275,boredapeyachtclub,3648,9977,54.4316,6,189.0
276,boredapeyachtclub,3653,7796,80.9627,6,179.99999999999997
277,boredapeyachtclub,3654,5570,96.5209,6,250.00000000000003
278,boredapeyachtclub,3664,775,183.0025,7,574.9999999999999
279,boredapeyachtclub,3666,1305,158.3681,6,665.9999999999999
280,boredapeyachtclub,3694,3837,112.835,5,216.9
281,boredapeyachtclub,3696,847,179.1835,7,1337.0
282,boredapeyachtclub,3701,4266,108.6933,6,222.0
283,boredapeyachtclub,3712,4778,103.4965,6,179.99000000000004
284,boredapeyachtclub,3721,2260,133.9856,6,199.00000000000003
285,boredapeyachtclub,3731,4449,106.5674,7,139.69
286,boredapeyachtclub,3732,2004,138.9194,6,420.69
287,boredapeyachtclub,3739,951,174.1827,4,229.0
288,boredapeyachtclub,3757,5635,96.0605,6,147.00000000000003
289,boredapeyachtclub,3776,4121,110.2363,7,500.00000000000006
290,boredapeyachtclub,3788,5479,97.3125,6,350.00000000000006
291,boredapeyachtclub,3796,4399,107.2022,7,165.0
292,boredapeyachtclub,3806,7526,82.7586,6,189.0
293,boredapeyachtclub,3811,9584,65.6054,6,169.42
294,boredapeyachtclub,3812,2582,128.1654,7,539.9999999999999
295,boredapeyachtclub,3813,8219,78.0012,6,332.99999999999994
296,boredapeyachtclub,3828,2737,125.7277,6,179.99999999999997
297,boredapeyachtclub,3865,3531,116.2065,6,239.0
298,boredapeyachtclub,3867,4869,102.587,7,209.99000000000004
299,boredapeyachtclub,3870,2608,127.7277,6,359.99999999999994
300,boredapeyachtclub,3953,2,350.5471,4,2888.0000000000005
301,boredapeyachtclub,3962,1501,152.2002,7,169.98999999999998
302,boredapeyachtclub,3987,6377,90.5022,5,500.00000000000006
303,boredapeyachtclub,3993,8686,74.574,6,250.00000000000003
304,boredapeyachtclub,4023,5246,99.1431,6,233.69000000000003
305,boredapeyachtclub,4031,921,175.2454,7,200.0
306,boredapeyachtclub,4043,9918,58.0268,5,299.99999999999994
307,boredapeyachtclub,4046,761,183.8462,7,175.00000000000003
308,boredapeyachtclub,4052,9601,65.3017,5,165.0
309,boredapeyachtclub,4057,6190,91.7857,5,169.0
310,boredapeyachtclub,4068,3607,115.5082,6,185.0
311,boredapeyachtclub,4088,873,177.8308,6,499.0
312,boredapeyachtclub,4090,1860,141.8058,6,345.678
313,boredapeyachtclub,4099,7400,83.51,5,152.00000000000003
314,boredapeyachtclub,4104,4652,104.7065,7,155.00000000000003
315,boredapeyachtclub,4112,7637,82.0695,6,129.89999999999998
316,boredapeyachtclub,4130,1694,146.0533,6,500.00000000000006
317,boredapeyachtclub,4135,560,195.3453,4,188.0
318,boredapeyachtclub,4137,5354,98.273,6,250.00000000000003
319,boredapeyachtclub,4142,3351,118.1318,5,250.00000000000003
320,boredapeyachtclub,4144,3393,117.7463,5,250.00000000000003
321,boredapeyachtclub,4165,3510,116.4909,7,275.00000000000006
322,boredapeyachtclub,4171,5612,96.2338,6,145.99999999999997
323,boredapeyachtclub,4173,498,199.8674,7,320.0
324,boredapeyachtclub,4174,2382,131.5296,7,200.0
325,boredapeyachtclub,4175,6381,90.4636,5,190.00000000000003
326,boredapeyachtclub,4208,3153,120.33,6,199.00000000000003
327,boredapeyachtclub,4249,3860,112.5666,6,420.0
328,boredapeyachtclub,4251,9019,71.7592,6,175.00000000000003
330,boredapeyachtclub,4262,2010,138.8167,7,200.0
331,boredapeyachtclub,4264,2904,123.379,6,299.99999999999994
332,boredapeyachtclub,4265,1689,146.1575,6,500.00000000000006
333,boredapeyachtclub,4273,1758,144.0765,5,500.00000000000006
334,boredapeyachtclub,4287,6298,91.1099,5,132.34420154472554
335,boredapeyachtclub,4289,5971,93.42,6,299.99999999999994
336,boredapeyachtclub,4319,8481,76.0692,6,140.00000000000003
337,boredapeyachtclub,4336,4458,106.4626,7,199.00000000000003
338,boredapeyachtclub,4355,648,190.031,4,399.0
339,boredapeyachtclub,4378,1225,161.5309,7,1000.0
340,boredapeyachtclub,4392,836,179.7843,4,248.99999999999997
341,boredapeyachtclub,4409,6711,88.1117,5,400.0
342,boredapeyachtclub,4435,2970,122.4952,6,665.9999999999999
343,boredapeyachtclub,4459,8757,74.0052,6,299.99999999999994
344,boredapeyachtclub,4460,6700,88.1988,5,179.99999999999997
345,boredapeyachtclub,4477,7538,82.6927,6,200.0
346,boredapeyachtclub,4529,2965,122.5723,6,139.00000000000003
347,boredapeyachtclub,4570,9558,65.9305,5,190.00000000000003
348,boredapeyachtclub,4580,246,227.0501,6,1696.0
349,boredapeyachtclub,4636,4385,107.387,6,249.9
350,boredapeyachtclub,4647,8841,73.2349,6,173.5
351,boredapeyachtclub,4649,7079,85.6233,6,202.0
352,boredapeyachtclub,4663,9979,54.3498,6,175.00000000000003
353,boredapeyachtclub,4664,1969,139.501,7,188.88
354,boredapeyachtclub,4679,3458,117.0072,6,172.69
355,boredapeyachtclub,4682,6015,93.0834,6,242.69
356,boredapeyachtclub,4685,4678,104.5099,6,229.69
357,boredapeyachtclub,4702,5356,98.2654,6,250.00000000000003
358,boredapeyachtclub,4708,2430,130.6386,7,268.99999999999994
359,boredapeyachtclub,4726,1766,143.9772,6,179.99999999999997
360,boredapeyachtclub,4728,3119,120.8068,5,210.0
361,boredapeyachtclub,4751,5693,95.6116,6,153.0
362,boredapeyachtclub,4756,1665,146.7269,6,599.9999999999999
363,boredapeyachtclub,4767,8053,79.2369,6,350.00000000000006
364,boredapeyachtclub,4770,5881,94.156,6,133.32999999999996
365,boredapeyachtclub,4773,5350,98.303,5,199.00000000000003
366,boredapeyachtclub,4780,6027,92.9682,6,199.00000000000003
367,boredapeyachtclub,4781,470,202.7083,6,134.99999999999997
368,boredapeyachtclub,4801,3181,120.0322,6,200.0
369,boredapeyachtclub,4808,4400,107.1909,5,175.00000000000003
370,boredapeyachtclub,4850,3350,118.1549,5,888.0
371,boredapeyachtclub,4870,8268,77.6755,6,250.00000000000003
372,boredapeyachtclub,4875,5786,94.8578,5,192.0
373,boredapeyachtclub,4884,8442,76.375,6,222.69
374,boredapeyachtclub,4890,472,202.4746,7,288.88
375,boredapeyachtclub,4896,8006,79.548,5,190.00000000000003
376,boredapeyachtclub,4930,7314,84.0233,6,139.00000000000003
377,boredapeyachtclub,4963,5010,101.2569,5,143.00000000000003
378,boredapeyachtclub,4986,8766,73.8989,6,179.99999999999997
379,boredapeyachtclub,5016,2370,131.7668,7,220.0
380,boredapeyachtclub,5017,2605,127.7777,6,599.9999999999999
381,boredapeyachtclub,5018,3820,113.0748,6,320.0
382,boredapeyachtclub,5051,4181,109.6105,6,289.99999999999994
383,boredapeyachtclub,5058,4654,104.6956,6,188.88
384,boredapeyachtclub,5069,124,246.8417,7,369.0
385,boredapeyachtclub,5078,8458,76.2699,6,149.99999999999997
386,boredapeyachtclub,5088,2826,124.3684,5,299.99999999999994
387,boredapeyachtclub,5091,1256,160.2157,6,350.00000000000006
388,boredapeyachtclub,5096,1840,142.2305,7,200.0
389,boredapeyachtclub,5097,7374,83.6975,5,178.00000000000003
390,boredapeyachtclub,5120,8265,77.6825,6,134.99999999999997
391,boredapeyachtclub,5143,5195,99.6107,6,173.00000000000003
392,boredapeyachtclub,5158,7690,81.722,5,210.0
393,boredapeyachtclub,5174,3304,118.6842,6,245.0
394,boredapeyachtclub,5177,4770,103.6125,6,250.00000000000003
395,boredapeyachtclub,5180,8127,78.7138,6,500.00000000000006
396,boredapeyachtclub,5191,3174,120.132,6,250.00000000000003
397,boredapeyachtclub,5212,6554,89.2176,6,149.99
398,boredapeyachtclub,5228,3452,117.0772,7,178.99999999999997
399,boredapeyachtclub,5230,67,265.846,7,1550.0000000000002
400,boredapeyachtclub,5244,1338,157.0699,6,200.0
401,boredapeyachtclub,5261,803,181.6015,4,268.99999999999994
402,boredapeyachtclub,5263,5969,93.4278,6,350.00000000000006
403,boredapeyachtclub,5265,1040,168.8893,6,170.0
404,boredapeyachtclub,5272,3893,112.2916,6,144.99999999999997
405,boredapeyachtclub,5277,2544,128.8527,7,369.0
406,boredapeyachtclub,5307,7330,83.9726,6,299.99999999999994
407,boredapeyachtclub,5343,7063,85.7259,5,170.0
408,boredapeyachtclub,5345,5723,95.36,5,200.0
409,boredapeyachtclub,5376,552,196.0402,4,420.0
410,boredapeyachtclub,5378,1572,149.9696,5,332.99999999999994
411,boredapeyachtclub,5383,223,229.2102,6,1199.0
412,boredapeyachtclub,5408,5374,98.1292,6,175.00000000000003
413,boredapeyachtclub,5429,4147,109.9976,7,500.00000000000006
414,boredapeyachtclub,5443,1332,157.2041,7,250.00000000000003
416,boredapeyachtclub,5460,2690,126.4828,6,450.0
418,boredapeyachtclub,5469,8037,79.3562,5,140.00000000000003
419,boredapeyachtclub,5475,1644,147.4357,6,178.99800000000002
420,boredapeyachtclub,5482,2025,138.5029,6,332.99999999999994
421,boredapeyachtclub,5491,65,266.7934,7,420.0
422,boredapeyachtclub,5508,7990,79.6623,6,189.0
423,boredapeyachtclub,5509,6030,92.9132,6,185.0
424,boredapeyachtclub,5524,990,171.973,7,199.99000000000004
425,boredapeyachtclub,5526,5831,94.5466,5,190.00000000000003
426,boredapeyachtclub,5528,2043,138.0529,5,500.00000000000006
427,boredapeyachtclub,5532,1587,149.5903,6,250.00000000000003
428,boredapeyachtclub,5534,9734,63.4315,6,500.00000000000006
429,boredapeyachtclub,5539,7654,81.9598,5,149.94099999999997
430,boredapeyachtclub,5556,6303,91.0701,6,155.00000000000003
431,boredapeyachtclub,5585,7623,82.1644,5,248.99999999999997
432,boredapeyachtclub,5599,1607,148.8513,7,332.99999999999994
433,boredapeyachtclub,5606,4193,109.4732,6,149.99
434,boredapeyachtclub,5609,5018,101.1623,6,230.0
435,boredapeyachtclub,5612,4192,109.4749,6,152.69
436,boredapeyachtclub,5624,9214,69.792,6,179.99999999999997
437,boredapeyachtclub,5635,4735,103.9261,6,420.69
438,boredapeyachtclub,5651,7283,84.2203,6,579.9999999999999
439,boredapeyachtclub,5668,5163,99.885,6,389.00000000000006
440,boredapeyachtclub,5673,3503,116.5913,5,99999999999999.98
441,boredapeyachtclub,5692,4264,108.7205,5,268.99999999999994
442,boredapeyachtclub,5702,6271,91.2369,6,799.9999999999999
443,boredapeyachtclub,5708,59,271.1868,6,333.3299999999999
444,boredapeyachtclub,5715,6071,92.656,5,189.0
445,boredapeyachtclub,5740,6656,88.4486,5,179.99999999999997
446,boredapeyachtclub,5746,3663,114.8339,5,175.00000000000003
447,boredapeyachtclub,5774,219,229.5244,6,999.0000000000005
448,boredapeyachtclub,5792,5995,93.2391,6,139.00000000000003
449,boredapeyachtclub,5836,3601,115.5649,6,220.0
450,boredapeyachtclub,5845,8113,78.783,5,299.99999999999994
451,boredapeyachtclub,5849,9716,63.7975,5,169.0
452,boredapeyachtclub,5854,3821,113.0747,7,222.0
453,boredapeyachtclub,5857,3003,122.1569,6,269.69
454,boredapeyachtclub,5869,658,189.627,6,299.99999999999994
455,boredapeyachtclub,5876,1442,153.8308,6,170.0
456,boredapeyachtclub,5878,3570,115.7983,6,235.00000000000003
457,boredapeyachtclub,5911,1933,140.3898,6,399.0
458,boredapeyachtclub,5942,411,207.935,6,299.99999999999994
459,boredapeyachtclub,5945,2357,132.1456,7,215.0
460,boredapeyachtclub,5959,7307,84.0557,5,250.00000000000003
